	Kingdom	Phylum	Class	Order	Family	Genus	Species
>ASV_6988	Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	R76-B128	NA
>ASV_6989	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	NA
>ASV_6990	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
>ASV_6991	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	marina
>ASV_6992	Bacteria	NA	NA	NA	NA	NA	NA
>ASV_6993	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	NA	NA
>ASV_6994	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	NA
>ASV_6995	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Colwelliaceae	Thalassotalea	agarivorans
>ASV_6996	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Saccharospirillaceae	Thalassolituus	NA
>ASV_6997	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
>ASV_6998	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
>ASV_6999	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
>ASV_7000	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	NA	NA
>ASV_7001	Bacteria	Verrucomicrobiota	Lentisphaeria	P.palmC41	NA	NA	NA
>ASV_7002	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA
>ASV_7003	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA	NA
>ASV_7004	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA
>ASV_7005	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Neiella	NA
>ASV_7006	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
>ASV_7007	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Candidatus Bacilloplasma	NA
